ON0245117,Feb,82.01
ON0245117,Mar,5.28
ON0245122,Feb,25.57
ON0245124,Feb,36.76
ON0245124,Mar,10.78
ON0245127,Feb,20.39
ON0245127,Mar,5.14
ON0245128,Feb,36.25
ON0245128,Mar,10.56
ON0245142,Feb,30.41
ON0245142,Mar,10.4
ON0245142,Dec,5.07
ON0245151,Feb,20.28
ON0245151,Apr,10.3
ON0245154,Feb,20.76
ON0245154,Mar,5.24
ON0245154,Apr,5.24
ON0245154,May,10.58
ON0245158,Feb,8142.41
ON0245158,Mar,690.18
ON0245158,Apr,596.62
ON0245159,Feb,46.66
ON0245163,Feb,10.29
ON0245163,Mar,5.2
ON0245163,Dec,5.11
ON0245165,Feb,5.13
ON0245165,Mar,5.22
ON0245166,Feb,5.34
ON0245166,May,5.54
ON0245169,Feb,20.46
ON0245169,Mar,5.26
ON0245169,Apr,5.26
ON0245169,May,5.16
ON0245169,Jun,5.3
ON0245172,Feb,20.72
ON0245172,Mar,5.32
ON0245172,Apr,5.44
ON0245172,May,5.34
ON0245172,Jun,5.58
ON0245176,Feb,36.74
ON0245176,Mar,10.5
ON0245178,Feb,30.83
ON0245178,Mar,10.36
ON0245179,Feb,46.25
ON0245185,Feb,10.38
ON0245185,Dec,5.15
ON0245186,Feb,15.69
ON0245186,Mar,5.72
ON0245189,Feb,35.57
ON0245189,Mar,10.28
ON0245189,Apr,5.1
ON2827759,Feb,11.06
ON2827759,Mar,5.42
ON2827759,Apr,5.56
ON2827759,May,5.46
ON2879741,Feb,45.64
ON2879741,Mar,5.12
ON2926450,Feb,21.02
ON2926450,Mar,5.52
ON2926450,Apr,5.28
ON2946317,Feb,20.3
ON2946317,Dec,10.13
ON2969267,Feb,45.98
ON3017088,Feb,20.35
ON3017088,Mar,5.24
ON3074281,Feb,15.41
ON3074281,Mar,5.4
ON3074281,Apr,5.24
ON3124346,Feb,35.83
ON3124346,Mar,10.42
ON3264511,Feb,35.92
ON3264511,Mar,15.62
ON3334688,Feb,41.27
ON3334688,Mar,5.16
ON3334688,Apr,5.52
ON3419975,Feb,32.29
ON3419975,Mar,10.82
ON3419975,Apr,5.76
ON3633095,Feb,31.55
ON3633095,Mar,16.42
ON3927989,Feb,15.29
ON3927989,Mar,5.16
ON3992693,Feb,83.46
ON3992693,Mar,5.52
ON4063222,Feb,5.56
ON4063222,Mar,5.7
ON4063222,May,6.12
ON4108051,Feb,41.26
ON4108051,Mar,5.14
ON4108051,Apr,5.2
ON4281775,Feb,15.42
ON4281775,Dec,5.1
ON4343167,Feb,10.21
ON4343167,Mar,5.14
ON4343167,Dec,5.22
ON4357344,Feb,35.43
ON4357344,Mar,5.08
ON4363708,Feb,76.54
ON4363708,Mar,15.64
ON4472225,Feb,40.95
ON4472225,Mar,10.38
ON4478690,Feb,25.49
ON4553803,Feb,40.31
ON4553803,Mar,6.2
ON4642656,Feb,5.68
ON4642656,Mar,5.52
ON4668707,Feb,40.87
ON4694841,Jan,173.59
ON4694841,Feb,70.72
ON4694841,Mar,103.34
ON4694841,Apr,157.02
ON4694841,May,98.02
ON4694841,Dec,146.51
ON4761234,Feb,51.24
ON4761234,Mar,10.3
ON4761234,Apr,5.1
ON4765951,Feb,35.8
ON4875990,Feb,48.26
ON4875990,Mar,5.4
ON4944574,Feb,25.35
ON4971172,Feb,76.31
ON4971172,Mar,5.08
ON5044548,Feb,35.93
ON5044548,Mar,15.58
ON5048494,Feb,37.14
ON5048494,Mar,10.86
ON5072638,Feb,41.76
ON5072638,Mar,10.64
ON5205017,Feb,31.01
ON5205017,Mar,5.42
ON5205017,Apr,5.26
ON5272139,Feb,25.54
ON5359985,Feb,30.58
ON5359985,Mar,15.82
ON5513274,Feb,31.43
ON5513274,Mar,10.8
ON5513274,Apr,10.9
ON5587204,Feb,15.32
ON5587204,Mar,5.14
ON5587204,Dec,5.07
ON5598773,Feb,20.95
ON5598773,Apr,5.22
ON5663871,Feb,41.03
ON5663871,Mar,5.22
ON5663871,Apr,5.48
ON5684258,Feb,15.35
ON5684258,Mar,10.38
ON5704033,Feb,31.34
ON5704033,Mar,16.2
ON5725771,Feb,15.18
ON5730348,Feb,35.76
ON5769022,Feb,43.12
ON5769022,Mar,5.28
ON5845235,Feb,35.95
ON5845235,Mar,10.4
ON5845235,Apr,5.26
ON5865120,Feb,46.12
ON5908106,Feb,93.05
ON5908106,Mar,5.28
ON5955867,Feb,30.41
ON5955867,Mar,15.32
ON6048928,Feb,70.95
ON6048928,Mar,25.44
ON6142964,Feb,35.97
ON6142964,Mar,15.72
ON6195914,Jan,15.38
ON6195914,Feb,5.26
ON6195914,Mar,15.86
ON6195914,Apr,15.72
ON6195914,Dec,10.22
ON6218494,Feb,46.22
ON6218494,Mar,5.2
ON6317299,Feb,35.97
ON6317299,Mar,15.66
ON6317299,Apr,5.18
ON6362729,Feb,25.83
ON6362729,Mar,5.1
ON6804229,Feb,26.33
ON6992031,Feb,36.5
ON6992031,Mar,10.86
ON7107722,Jan,5.04
ON7107722,Feb,5.18
ON7185430,Feb,10.28
ON7382444,Feb,15.68
ON7382444,Mar,5.44
ON7382444,Apr,5.32
ON7522142,Feb,16.01
ON7522142,Mar,5.58
ON7522142,Apr,10.8
ON7588544,Jan,5.04
ON7588544,Mar,5.12
ON7588544,Dec,5.05
ON7625268,Feb,25.49
ON7643250,Feb,40.83
ON7643250,Mar,10.24
ON7662973,Feb,53.41
ON7662973,Mar,10.92
ON7675862,Feb,47.27
ON7675862,Mar,10.32
ON7812320,Feb,35.95
ON7812320,Mar,15.4
ON7887102,Feb,25.37
ON7919943,Feb,11.14
ON7919943,Mar,5.48
ON7919943,Apr,10.28
ON7969289,Feb,36.41
ON7969289,Mar,10.46
ON7969289,Apr,5.2
ON8019271,Feb,20.57
ON8050864,Feb,47.33
ON8082710,Feb,37.83
ON8082710,Mar,11.04
ON8136415,Feb,40.95
ON8136415,Mar,15.44
ON8136415,Apr,10.4
ON8136415,May,10.38
ON8140078,Jan,11.7
ON8140078,Mar,18.9
ON8140078,Apr,11.3
ON8140078,May,24.26
ON8140078,Jun,6.16
ON8140078,Dec,17.56
ON8158175,Feb,40.99
ON8222055,Feb,41.68
ON8222055,Mar,12.98
ON8222055,Apr,6.96
ON8222055,May,22.94
ON8298980,Feb,40.51
ON8298980,Mar,10.18
ON8310389,Feb,5.16
ON8310389,Mar,5.26
ON8426564,Feb,25.62
ON8716226,Feb,40.79
ON8716226,Mar,5.12
ON8776205,Feb,20.78
ON8776205,Mar,5.4
ON9001911,Feb,5.24
ON9001911,May,5.38
ON9017545,Feb,41
ON9017545,Mar,15.62
ON9037442,Jan,205.34
ON9037442,Feb,145.88
ON9037442,Mar,105.58
ON9037442,Apr,271.4
ON9037442,May,169.36
ON9037442,Dec,133.91
ON9039798,Feb,35.75
ON9039798,Mar,10.26
ON9039798,Apr,5.16
ON9145307,Feb,15.65
ON9145307,Mar,5.26
ON9145307,Apr,5.28
ON9386952,Feb,41.25
ON9447182,Feb,5.14
ON9447182,Mar,5.48
ON9451552,Feb,10.08
ON9451552,Mar,5.1
ON9471859,Feb,25.87
ON9476715,Jan,13.56
ON9476715,Feb,57.6
ON9476715,Apr,35.72
ON9476715,May,30.98
ON9476715,Jun,26.12
ON9476715,Dec,24
ON9491629,Feb,15.89
ON9491629,Dec,5.26
ON9525819,Feb,30.49
ON9525819,Mar,5.1
ON9530728,Feb,40.89
ON9530728,Mar,15.4
ON9716178,Feb,25.57
ON9716178,Mar,10.3
ON9716178,Apr,15.6
ON9716178,May,5.2
ON9716178,Dec,5.09
ON9757962,Feb,36.51
ON9757962,Mar,10.4
,,
